file:	/home/chen/code/csa/data/bible
gam 256
rlg 256
rld 256
rld 256
rld 256
rld 256
rld 256
rld 256
rld 257
rld 257
rld 257
rld 257
rld 258
rld 258
rld 258
rld 258
rld 259
rld 259
rld 259
rld 259
rld 260
rld 260
rld 260
rld 260
rld 261
rld 261
rld 261
rld 261
rld 262
rld 262
rld 262
rld 262
rld 263
rld 263
rld 263
rld 263
rld 264
rld 264
rld 264
rld 264
rld 265
rld 265
rld 265
rld 265
rld 266
rld 266
rld 266
rld 266
rld 267
rld 267
rld 267
rld 267
rld 268
rld 268
rld 268
rld 268
rld 269
rld 269
rld 269
rld 269
rld 270
rld 270
rld 270
rld 270
rld 271
rld 271
rld 271
rld 271
rld 272
rld 272
rld 272
rld 272
rld 273
rld 273
rld 273
rld 273
rld 274
rld 274
rld 274
rld 274
rld 275
rld 275
rld 275
rld 275
rld 276
rld 276
rld 276
rld 276
rld 277
rld 277
rld 277
rld 277
rld 278
rld 278
rld 278
rld 278
rld 279
rld 279
rld 279
rld 279
rld 280
rld 280
rld 280
rld 280
rld 281
rld 281
rld 281
rld 281
rld 282
rld 282
rld 282
rld 282
rld 283
rld 283
rld 283
rld 283
rld 284
rld 284
rld 284
rld 284
rld 285
rld 285
rld 285
rld 285
rld 286
rld 286
rld 286
rld 286
rld 287
rld 287
rld 287
rld 287
rld 288
rld 288
rld 288
rld 288
rld 289
rld 289
rld 289
rld 289
rld 290
rld 290
rld 290
rld 290
rld 291
rld 291
rld 291
rld 291
rld 292
rld 292
rld 292
rld 292
rld 293
rld 293
rld 293
rld 293
rld 294
rld 294
rld 294
rld 294
rld 295
rld 295
rld 295
rld 295
rld 296
rld 296
rld 296
rld 296
rld 297
rld 297
rld 297
rld 297
rld 298
rld 298
rld 298
rld 298
rld 299
rld 299
rld 299
rld 299
rld 300
rld 300
rld 300
rld 300
rld 301
rld 301
rld 301
rld 301
rld 302
rld 302
rld 302
rld 302
rld 303
rld 303
rld 303
rld 303
rld 304
rld 304
rld 304
rld 304
rld 305
rld 305
rld 305
rld 305
rld 306
rld 306
rld 306
rld 306
rld 307
rld 307
rld 307
rld 307
rld 308
rld 308
rld 308
rld 308
rld 309
rld 309
rld 309
rld 309
rld 310
rld 310
rld 310
rld 310
rld 311
rld 311
rld 311
rld 311
rld 312
rld 312
rld 312
rld 312
rld 313
rld 313
rld 313
rld 313
rld 314
rld 314
rld 314
rld 314
rld 315
rld 315
rld 315
rld 315
rld 316
rld 316
rld 316
rld 316
rld 317
rld 317
rld 317
rld 317
rld 318
rld 318
rld 318
rld 318
rld 319
rld 319
rld 319
rld 319
rld 320
rld 320
rld 320
rld 320
rld 321
rld 321
rld 321
rld 321
rld 322
rld 322
rld 322
rld 322
rld 323
rld 323
rld 323
rld 323
rld 324
rld 324
rld 324
rld 324
